date,day_index,history_cutoff_date,k_target,k_effective,risk_alpha,risk_q_floor_kwh,price_source,chosen_price_model,planned_q_kwh,planned_q_sha256,n_scenarios,load_information_case,year_end_rule,settlement_rule
2025-02-28,58,2025-02-27,8,8,0.6,293.62594107142917,price_module,2,37454.289405491574,ac075812d3cabe7f2aded9d78137215135ecb56f36cc50f60ee9fd321f1cfdc0,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-01,59,2025-02-28,8,8,0.6,360.05481726190544,price_module,2,36008.33792939916,07f68a5cab70c4be88db241becc9c9cfb8c365478753841b061fb2ba13b5dc5d,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-02,60,2025-03-01,8,8,0.6,271.58443452381005,price_module,2,67799.94761610289,b79e4f597b1d92b3e36aeff06e3b827bfdc2eb95093c23fdc4ea956d66a9f07d,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-03,61,2025-03-02,8,8,0.6,440.70881607142906,price_module,2,68951.93800150888,267242786248abd31ea028264bcaa446fa4e9c1260aca7fc96b1518eaa29acc2,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-04,62,2025-03-03,8,8,0.6,478.22225535714244,price_module,2,75077.76393029584,9b913f1869243fbb2655ce97de715213c4423415c86cb290bb3c49c66abfe2f7,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-05,63,2025-03-04,8,8,0.6,296.99221488095225,price_module,2,71371.36775109012,a4e4ad1d94d3560faf5d875711f3aa65dd9b3aa2273ffe0ea31a71608fce2e2e,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-06,64,2025-03-05,8,8,0.6,191.48268809523813,price_module,2,65035.006262232026,b701747f06d4982a396b7f5155885fe9daf039dc52697046c340d1b663979b55,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-07,65,2025-03-06,8,8,0.6,350.42949940476245,price_module,2,33399.43829337221,718cd841b2c7bb8de7f59ef33ece59698f3b3d65c2e0b7808d336594d39cdb8f,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-08,66,2025-03-07,8,8,0.6,355.99621904761983,price_module,2,38216.73325309791,2ab1ce0bb3362b723f81bbee9e3cbb69181475462c90290d20492b030a30bf63,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-09,67,2025-03-08,8,8,0.6,355.99621904762,price_module,2,66841.64684303089,1eecc4296801730c4134463ec7ee2af9fad35d2f4a6e5824b56d4cc4269147dd,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-10,68,2025-03-09,8,8,0.6,295.73008154761953,price_module,2,69327.5285725013,6cd6132537aaa86951cdc7e7a93526f1a6f6fb480df3a9b5d86bbbffc989b790,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-11,69,2025-03-10,8,8,0.6,169.58376130952456,price_module,2,69232.16799340962,e549e40c234dfc8002dea33fa8c9e08ebdce1c70b2f66bde1897494da365afe9,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-12,70,2025-03-11,8,8,0.6,251.3572910714289,price_module,2,68889.41008837275,4d8c6ac5080cb62e1d462bd3a94bad008275ccc4756a41f157a70673f36dd64b,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-13,71,2025-03-12,8,8,0.6,252.39988095238118,price_module,2,63342.410735071215,38cad73cef76dff605fa9b4f989525cfa15a3cff03d1491129331c505a485ed0,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-14,72,2025-03-13,8,8,0.6,426.15216428571443,price_module,2,33912.72083873258,9d50781f8a06afe2bad5d2744a94431b8fc2722417051454517c170416bb1053,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-15,73,2025-03-14,8,8,0.6,280.2282035714291,price_module,2,34504.13858128416,309f43ed2f88cb357f76297a3fa7d218d5766a6727b8df19ec4f7923c8cfa710,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-16,74,2025-03-15,8,8,0.6,280.2282035714293,price_module,2,63732.22622022351,fea02ffc5f900fe23541a013f5e0952eb72c6aeace973bc1a47e17f92d1d9e8b,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-17,75,2025-03-16,8,8,0.6,438.43176071428513,price_module,2,66715.4080771739,c2c4ba9600f8373f7ed787458c8e2ecebdbcbee453c664456b537a17eb3dbd52,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-18,76,2025-03-17,8,8,0.6,412.2185910714294,price_module,2,66088.81073206547,0ad0c95fcfc018925373b1b45b7d6f43b5f3c42c91a99579407e5e5337bcfd0c,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-19,77,2025-03-18,8,8,0.6,396.3060678571436,price_module,2,67791.56660584116,c48e752242f6a5fd3217f62d7a0942b9b0b33f176c093e910a04df8ae60e61ac,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-20,78,2025-03-19,8,8,0.6,396.30606785714366,price_module,2,60923.662008105544,55fcf8dfb7733a2f171ddb37c56a842734a1d0c7176e1e1e76d3cfa8c33a6f07,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-21,79,2025-03-20,8,8,0.6,394.94248690476286,price_module,2,32406.183110553808,1ef2db56935a1c7b9a626dd42617ef67f8222500c5b90b98dfe9a6b2fe8193e5,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-22,80,2025-03-21,8,8,0.6,417.4518625000017,price_module,2,33177.30692143864,5abc257c7e714be95c86268049141703aa9ccbc2565fa80d8567d38fcb4238eb,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-23,81,2025-03-22,8,8,0.6,310.04127500000084,price_module,2,58870.47898885742,08e2109918e8bf0d83431722e873a3586478f7616e755f0e7ab4f03fe5fe35cf,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-24,82,2025-03-23,8,8,0.6,327.0809166666671,price_module,2,62279.48126259186,9956f3a7b685c10062617eeec181997cae3add552a2103982fb654bc16804cba,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-25,83,2025-03-24,8,8,0.6,335.2289154761928,price_module,2,63887.346277771474,5557ea5096367890683d39a8259e5a91285570d75822107838b779066062b53f,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-26,84,2025-03-25,8,8,0.6,663.5542017857133,price_module,2,60750.62476104498,dfc74ad0ca9f2636a5c18503ccb8d1d83a4711e0628d4992ef8c7b78b45eb681,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-27,85,2025-03-26,8,8,0.6,642.6106184523802,price_module,2,58335.21386492725,aca104766ea38f55a174cec2a4aa3dcdc4aa6be88347bd86758baf2cc8be7ffd,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-28,86,2025-03-27,8,8,0.6,493.5785190476183,price_module,2,30987.490329557608,f5bc15ccefb4e5f867c80ecd0e46fa25e846970ca19899f6b7ed3993d1632552,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-29,87,2025-03-28,8,8,0.6,534.9187565476182,price_module,2,32296.995301147068,edc6f3d995fcccaf38a32d2ce95ad10580d8b30057661a9c7d7e88d7068df094,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-30,88,2025-03-29,8,8,0.6,430.22067619047675,price_module,2,54804.96833169428,ee0b417b1046fe2a4df8a891bf2a643a3c5b5e7228b131960977b2baa4ba7e34,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-03-31,89,2025-03-30,8,8,0.6,315.90745178571444,price_module,2,55750.340921055584,2b138f3ea41a096c20219a68f91a55b2f91669d17e96364403d266cacdc386a5,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-01,90,2025-03-31,8,8,0.6,311.7127589285716,price_module,2,56867.09274044874,8e577b5bf21119bf85f5e7637f6d572adb40399163eff46dde5fa36de46ce7f4,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-02,91,2025-04-01,8,8,0.6,407.9202696428572,price_module,2,62450.39703587437,6af930de447a80c8d7df1e79b6d8cf515c6a617df9f46cb3bae158aa92eab72f,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-03,92,2025-04-02,8,8,0.6,397.5118196428572,price_module,2,54135.50019514912,b0e4a8b3a4fb27a9387a037bf1be2e584cf7334166b64929fc7964c1b8d1b597,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-04,93,2025-04-03,8,8,0.6,411.56118214285743,price_module,2,31272.22286167358,b470e0d4b4ee308116f30a008225d4b3b7f134a48ce498ed069d989f6adce85b,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-05,94,2025-04-04,8,8,0.6,480.29539761904806,price_module,2,31697.561879772547,5eeb75550d915b9be6d9dd5b9409f983f681db88f851213bf2662999d1508dee,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-06,95,2025-04-05,8,8,0.6,593.566872619048,price_module,2,56409.95620224846,98116625f86a720c1453f999269b10b161e5305be17c036e030c94e3f5096b48,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-07,96,2025-04-06,8,8,0.6,659.5631130952384,price_module,2,56083.06609756836,a2c89cbf6d2282f906f058ea0458fed06ee5a9f9f622bfcac3561c5d1db28ed4,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-08,97,2025-04-07,8,8,0.6,531.0518970238093,price_module,2,58305.02813111825,e52becdd40f27753dfde0918e0508b3d771f73e8d8a5c486cb4751e520776ccb,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-09,98,2025-04-08,8,8,0.6,583.9892839285721,price_module,2,60850.80452951181,6ebe7b840fc7d9ffc72759e87ad74a5189535a12db1101dc0d510b1d2d2667e1,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-10,99,2025-04-09,8,8,0.6,616.1485077380958,price_module,2,51829.97531388975,c7692a689b6fe26945fa581a6d27adcde75c52277cb63ac9f5e59bbf662c74a4,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-11,100,2025-04-10,8,8,0.6,545.5681625,price_module,2,30812.5470228037,c2b0bde744a5f04ac0422f9bb0c086d95cf25d0576a37a2e00d07d9d8446f2a2,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-12,101,2025-04-11,8,8,0.6,557.3684583333331,price_module,2,31491.66816261712,c8bb3c0c4f4eb76e5991230ed15ce186a597c53aa29154f2c5e5781ed7d675c7,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-13,102,2025-04-12,8,8,0.6,829.02295654762,price_module,2,53747.407194605,c442b9617be1a9d7f31f99277500901ac9806aac2579951e6017274b44c88c29,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-14,103,2025-04-13,8,8,0.6,630.7156797619042,price_module,2,53250.5525971645,403ee5af6f4e6992b1dcaac8d261a75ea7daf96e98acbba54871db4c799b6d72,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-15,104,2025-04-14,8,8,0.6,1074.2272071428572,price_module,2,56911.754165008504,42fd52be05db9f2566658dae8c9fcb5978da65ca9c4f4a088efcfda743245ec5,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-16,105,2025-04-15,8,8,0.6,645.0140208333335,price_module,2,54885.8375450943,60d963ddd1faacba2d072204e2c91bc2852ffab9a06e6d60ed55e209fc8f319e,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-17,106,2025-04-16,8,8,0.6,601.0977148809527,price_module,2,51274.26232454974,a3e7d988268bcc972bd4dca683ab4838c5132e8432e70b2617a6f5c588fff2e7,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-18,107,2025-04-17,8,8,0.6,1119.1572107142863,price_module,2,28947.659089554483,be702ae0922a8e4978df6190775228f5abde7cb98a67649610b9b5b7efdf8d55,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-19,108,2025-04-18,8,8,0.6,1310.8896559523814,price_module,2,32277.14788353059,210b7bb378b111f836f9181126ba0869f1ff3234c6b95659edf2688fdfd0ec50,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-20,109,2025-04-19,8,8,0.6,951.9415386904767,price_module,2,50944.15821204377,6133824815a28678140b217e4558a681e1ff2f103451a7490e1b78eaed33e006,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-04-21,110,2025-04-20,8,8,0.6,674.3330755952395,price_module,2,53985.057713128546,0e067224bb97576a8b09baf07bafdd3ab5886f5b856fbc1e5b03caecffba3b3d,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
